preds	count	median	std
['NA', 'OP', 'IP', 'RV', 'DS']	30	416.5	1967.6734543588543
['NA', 'OP', 'IP', 'RV']	70	442.5	622.7788590233108
['NA', 'OP', 'IP']	52	419.5	404.8632317528221
['NA', 'OP', 'NB', 'AV']	702	480.5	914.3165185500557
['NA', 'OP', 'NB', 'OB']	3823	453.0	1573.9773936291713
['NA', 'OP', 'NB', 'RE', 'RV']	1	2630.0	
['NA', 'OP', 'NB', 'RS']	85	472.0	1734.9866988245299
['NA', 'OP', 'NB', 'RV', 'AV']	8	469.5	463.2199223139819
['NA', 'OP', 'NB', 'RV', 'DS']	2	436.5	224.15284963613556
['NA', 'OP', 'NB', 'RV', 'OB']	1	223.0	
['NA', 'OP', 'NB', 'RV']	9221	402.0	1376.4419963956277
['NA', 'OP', 'NB']	6212	406.0	1539.2476995723068
['NA', 'OP', 'NE', 'OB']	14	246.0	201.996463901157
['NA', 'OP', 'NE', 'RS']	4	490.0	153.13719339206918
['NA', 'OP', 'NE', 'RV']	7	294.0	87.35532256796023
['NA', 'OP', 'NE']	405	279.0	470.08554692491686
['NA', 'OP', 'OB']	2817	414.0	1516.7029664905172
['NA', 'OP', 'RS']	123	439.0	1413.4814840566628
['NA', 'OP', 'RV', 'OB']	4	409.0	155.5042871863452
['NA', 'OP', 'RV']	1687	425.0	1166.7619475431266
['NA', 'OP', 'SR', 'NB', 'RV']	1	276.0	
['NA', 'OP', 'SR', 'NB']	11	658.0	2108.1739405552767
['NA', 'OP', 'SR', 'OB']	29	658.0	502.23803798401167
['NA', 'OP', 'SR']	218	436.0	532.2584926018297
['NA', 'OP']	2790	424.5	1315.8858127950168
['NA', 'RS']	6	325.0	2049.108489075188
['NA', 'RV']	22	304.0	282.215281953273
['NA', 'SR', 'NB']	1767	330.0	1007.9581176210822
['NA', 'SR']	19872	306.5	1042.8417059047113
['NA']	18792	415.0	1930.4257626629085
['NB', 'AV']	7	367.0	429.153208295681
['NB', 'OB']	8	1015.5	320.1099978355654
['NB']	117	258.0	1335.3966107552112
['NE']	15	161.0	193.40463381458156
['OB']	41	378.0	1422.170534952755
['OP', 'AV']	6546	462.0	752.4731615913657
['OP', 'DTP', 'RS']	1	418.0	
['OP', 'DTP', 'RV']	1	292.0	
['OP', 'IP', 'AV', 'DS']	762	412.5	698.8387795114993
['OP', 'IP', 'AV']	1007	417.0	936.9787971964298
['OP', 'IP', 'DS']	741	395.0	1181.085644119555
['OP', 'IP', 'NB', 'AV', 'DS']	9	320.0	211.34378260181785
['OP', 'IP', 'NB', 'AV']	21	462.0	512.9756886469935
['OP', 'IP', 'NB', 'DS']	14	336.0	373.7466159940889
['OP', 'IP', 'NB', 'OB']	1	299.0	
['OP', 'IP', 'NB', 'RV', 'AV']	1	291.0	
['OP', 'IP', 'NB', 'RV', 'DS']	30	254.5	645.7292803089201
['OP', 'IP', 'NB', 'RV']	11	294.0	281.2372987031026
['OP', 'IP', 'NB']	16	314.5	1963.3525313860473
['OP', 'IP', 'OB', 'ED']	2	1248.0	28.284271247461902
['OP', 'IP', 'OB']	991	502.0	1941.3335645985433
['OP', 'IP', 'RS', 'DS']	5	333.0	258.9532776390367
['OP', 'IP', 'RS']	41	386.0	3112.1059511558265
['OP', 'IP', 'RV', 'AV', 'DS']	30	867.0	1971.7062579948592
['OP', 'IP', 'RV', 'AV']	43	614.0	1772.579576941229
['OP', 'IP', 'RV', 'DS']	5425	320.0	645.9282733621459
['OP', 'IP', 'RV']	1099	349.0	715.5818843180084
['OP', 'IP']	844	394.0	2275.6377085265135
['OP', 'NB', 'AV']	62	375.0	906.3205148991873
['OP', 'NB', 'OB']	103	489.0	1320.4300128398704
['OP', 'NB', 'RS']	1	179.0	
['OP', 'NB', 'RV', 'AV']	5	633.0	425.59511275389434
['OP', 'NB', 'RV', 'OB']	1	1584.0	
['OP', 'NB', 'RV']	153	341.0	920.2340953516544
['OP', 'NB']	68	281.0	727.0955357653755
['OP', 'OB', 'AV']	6	1156.5	465.8650734565392
['OP', 'OB', 'RS']	46	680.5	1889.964912896712
['OP', 'OB']	42800	478.0	1733.964036797449
['OP', 'RS', 'AV']	15	614.0	1180.7468258126578
['OP', 'RS']	5044	501.5	2828.708216424936
['OP', 'RV', 'AV']	186	843.0	2142.9120782125297
['OP', 'RV', 'DS']	55	301.0	251.9105781699915
['OP', 'RV', 'OB']	35	524.0	1276.8889892063062
['OP', 'RV']	15173	404.0	1040.0921693537364
['OP', 'SR']	4	551.5	279.6549957834951
['OP']	3921	436.0	1917.8349786865897
['RS']	10	222.5	263.28313867604794
['RV']	17	218.0	103.7957907454372
['SP', 'ID', 'IT']	1	2800.0	
['SP', 'ID']	5	677.0	900.5535519889975
['SP', 'IN', 'DTP']	6	547.0	1538.9727742880962
['SP', 'IN', 'FI']	8	566.0	257.83978968122267
['SP', 'IN', 'IT', 'DTP']	34	311.5	331.2545267574863
['SP', 'IN', 'IT']	72	307.5	705.3555390185153
['SP', 'IN']	27	445.0	527.8785068069337
['SP', 'IP', 'IT']	5	725.0	324.38295269634625
['SP', 'IP']	3	591.0	726.6170472355665
['SP', 'IT', 'DTP']	1	609.0	
